time, gx, gy, gz, ax, ay, az, mx, my, mz
10807310,-0.120,-0.030,-0.020,+0.023,-0.065,+9.919,+24.500,+4.700,-36.800
10807320,-0.040,-0.010,-0.100,+0.028,-0.047,+9.887,+25.400,+3.100,-33.600
10807330,-0.110,+0.070,-0.030,+0.028,-0.073,+9.879,+25.300,+2.900,-33.500
10807340,-0.140,-0.040,-0.020,+0.030,-0.074,+9.926,+25.400,+2.700,-33.800
10807350,-0.070,+0.010,+0.030,+0.031,-0.065,+9.925,+25.400,+3.100,-33.800
10807360,-0.190,-0.060,+0.130,+0.025,-0.072,+9.951,+24.600,+4.000,-36.800
10807370,-0.100,-0.030,-0.040,+0.027,-0.070,+9.914,+24.300,+4.500,-36.900
10807380,-0.160,+0.000,-0.130,+0.020,-0.076,+9.882,+25.300,+2.900,-33.800
10807390,-0.100,-0.060,+0.040,+0.004,-0.069,+9.909,+25.600,+3.100,-34.100
10807400,+0.000,+0.020,-0.020,+0.024,-0.060,+9.897,+25.300,+2.900,-33.800
10807410,-0.130,-0.050,-0.110,+0.029,-0.062,+9.874,+25.400,+2.400,-33.300
10807420,-0.140,-0.020,-0.120,+0.021,-0.079,+9.906,+25.300,+3.100,-33.800
10807430,-0.120,+0.000,+0.050,+0.022,-0.061,+9.932,+25.100,+2.600,-33.600
10807440,-0.090,+0.020,-0.040,+0.031,-0.060,+9.916,+24.300,+4.500,-36.900
10807450,-0.120,-0.070,-0.040,+0.037,-0.073,+9.915,+25.300,+2.600,-33.800
10807460,-0.160,-0.050,-0.030,+0.024,-0.071,+9.907,+25.100,+3.200,-33.800
10807470,-0.020,-0.110,-0.080,+0.030,-0.065,+9.937,+25.600,+2.900,-33.300
10807480,-0.130,+0.060,-0.070,+0.033,-0.076,+9.920,+25.300,+2.200,-34.100
10807490,-0.130,-0.050,+0.020,+0.027,-0.070,+9.958,+25.300,+2.900,-33.800
10807500,-0.090,-0.020,+0.010,+0.052,-0.045,+9.928,+25.300,+2.600,-33.800
10807510,-0.150,-0.030,-0.070,+0.028,-0.094,+9.940,+25.600,+2.900,-34.000
10807520,-0.050,+0.030,-0.030,+0.024,-0.073,+9.910,+25.400,+2.200,-33.800
10807530,-0.130,+0.060,-0.060,+0.025,-0.078,+9.880,+25.100,+2.900,-34.100
10807540,-0.050,+0.010,-0.040,+0.042,-0.084,+9.910,+25.100,+2.700,-33.800
10807550,-0.070,-0.020,-0.050,+0.032,-0.090,+9.915,+25.400,+2.700,-33.600
