x,y,word,size,angle,color
385.0,204.0,self,45px,0.0,#ffdd55
239.0,453.0,return,32px,0.0,#84adcd
323.0,379.0,def,29px,0.0,#3570a0
223.0,270.0,None,25px,0.0,#7ea2b5
212.0,63.0,name,21px,0.0,#ffda4d
240.0,306.0,file,19px,0.0,#3772a2
213.0,152.0,raise,19px,0.0,#ffe365
271.0,164.0,value,18px,0.0,#ffe05e
44.0,310.0,line,18px,0.0,#4989bc
421.0,305.0,arg,18px,0.0,#ffe366
175.0,181.0,path,18px,0.0,#ffe772
265.0,27.0,object,18px,0.0,#ffd84d
339.0,134.0,data,17px,0.0,#ffe894
139.0,265.0,True,16px,0.0,#3d79aa
77.5,252.0,class,16px,0.0,#417fb1
452.0,200.0,type,16px,0.0,#ffd744
302.0,152.5,try,16px,1.5707963267948966,#ffdd55
307.0,351.0,os,16px,0.0,#346e9d
307.0,299.0,import,16px,0.0,#306a99
90.0,201.0,except,16px,1.5707963267948966,#407bab
91.0,335.0,string,15px,1.5707963267948966,#4685b7
469.0,238.0,len,15px,0.0,#ffd94b
213.0,205.0,argument,15px,1.5707963267948966,#ffe772
404.0,323.0,key,15px,0.0,#ffe66f
170.0,107.0,False,15px,0.0,#ffe161
261.0,436.0,module,15px,1.5707963267948966,#3e7bac
311.0,275.0,elif,15px,0.0,#316a98
138.0,343.0,error,15px,0.0,#4280b2
268.0,182.0,Decimal,15px,0.0,#ffe162
265.0,201.0,default,15px,0.0,#ffe368
247.0,92.0,sy,15px,0.0,#ffda4e
264.0,377.0,list,15px,0.0,#457dab
318.0,103.0,context,15px,0.0,#ffdf6c
308.0,414.0,byte,15px,0.0,#3874a4
40.0,272.0,filename,15px,1.5707963267948966,#4585b7
120.0,259.0,result,15px,1.5707963267948966,#3d7aab
276.0,60.0,code,15px,0.0,#ffd540
383.0,148.0,append,15px,0.0,#ffe482
182.0,44.0,isinstance,15px,0.0,#fff2be
456.0,290.0,function,15px,1.5707963267948966,#ffea94
311.0,432.0,method,15px,0.0,#3a76a6
204.0,337.0,mode,15px,0.0,#3c78a9
151.0,287.0,number,15px,0.0,#3d7aab
445.0,156.0,write,15px,0.0,#ffd543
182.0,127.0,ValueError,15px,0.0,#ffe263
78.0,149.0,read,15px,0.0,#3f79a8
233.0,104.0,set,15px,1.5707963267948966,#ffdd55
108.0,150.0,cl,15px,0.0,#3671a1
75.0,233.0,int,15px,0.0,#407dae
129.0,332.0,message,15px,0.0,#4281b2
280.0,448.0,item,15px,0.0,#3e7bac
332.0,176.0,print,15px,0.0,#ffdd54
164.0,463.0,use,15px,0.0,#4989bc
182.0,209.0,flag,15px,0.0,#ffe873
196.0,302.0,option,15px,0.0,#3a76a7
269.0,367.0,obj,15px,0.0,#3874a4
391.0,191.0,will,15px,0.0,#ffda4d
161.0,91.0,str,15px,0.0,#ffe05f
92.0,132.0,size,15px,0.0,#a2bdd4
287.0,14.0,format,15px,0.0,#ffdb5b
237.0,397.0,encoding,15px,0.0,#6a99bf
71.0,291.0,used,15px,0.0,#4584b6
291.5,89.0,__init__,15px,0.0,#ffd643
59.0,279.0,text,15px,0.0,#4584b6
45.0,211.0,msg,15px,0.0,#407eb0
239.0,53.0,must,15px,0.0,#ffd745
431.0,178.0,action,15px,0.0,#ffd641
195.0,79.0,time,15px,0.0,#ffdd55
338.0,370.0,Python,15px,0.0,#326c9c
207.0,32.0,tuple,15px,0.0,#ffdd60
279.0,356.0,pass,15px,0.0,#3671a2
188.0,262.0,join,15px,0.0,#82a7c5
111.0,310.0,turtle,15px,0.0,#4381b3
157.0,152.0,source,15px,0.0,#ffe670
