x,y,radius,r,g,b
0,500,71.5124,197,212,213
0,363,63.9851,191,209,211
0,139,59.2101,201,215,213
159,500,48.466,193,209,204
0,249,43.8037,184,203,203
54,58,38.3615,214,224,224
83,431,36.2688,186,204,205
371,500,34.2887,198,213,213
0,25,25.7287,213,220,220
233,500,25.2443,205,218,213
313,500,23.1165,200,213,214
346,-11,23.1165,231,225,180
286,347,22.4494,229,222,189
91,488,20.4693,191,208,207
342,242,19.6758,228,214,177
242,-11,19.2965,192,166,101
43,204,19.1701,192,209,206
258,225,17.8008,230,217,183
317,83,17.5129,231,217,177
133,-4,17.0636,147,121,68
372,51,16.8108,225,219,180
249,362,16.4315,231,219,175
89,-11,16.4315,130,118,73
349,153,16.3965,223,208,171
274,500,16.235,204,216,213
313,10,15.6029,228,215,167
299,160,15.5679,223,209,169
39,293,15.4415,179,198,198
283,299,15.28,204,183,140
76,380,15.0622,177,198,200
348,96,14.325,226,213,167
130,114,13.6579,130,118,69
318,217,13.5315,224,208,174
256,286,13.2786,191,165,119
35,-11,13.2786,123,114,71
329,302,13.1172,223,212,175
344,25,13.1172,231,225,185
128,448,12.7029,184,201,200
165,343,12.5765,186,156,96
61,176,12.5765,182,198,196
368,132,12.2886,214,200,154
324,111,12.2886,229,216,174
511,12,12.2886,205,217,210
266,14,12.1622,202,176,114
315,190,12.0358,222,195,155
63,108,11.9093,208,220,216
501,45,11.9093,205,216,215
239,265,11.8743,219,199,164
249,334,11.4951,228,212,166
156,193,11.46,157,134,80
316,334,10.9543,225,217,179
216,116,10.9193,173,143,88
469,79,10.7929,173,188,194
437,495,10.6665,189,203,205
244,80,10.6665,176,145,87
37,426,10.505,196,211,214
208,158,10.3786,153,129,79
388,85,10.3786,198,183,138
215,25,10.1258,162,139,84
96,80,9.964310000000001,206,217,212
297,65,9.83789,219,194,149
353,192,9.55002,222,200,161
279,146,9.55002,230,214,174
0,59,9.55002,212,220,222
84,21,9.55002,208,218,210
146,306,9.4236,172,149,93
303,105,9.4236,223,199,154
33,16,9.4236,213,219,218
194,342,9.170760000000001,192,167,116
324,155,9.170760000000001,225,209,174
